순위, 제목, 저자, 가격
1, 트렌드 코리아 2023, 김난도 외, 17100원
2, 사랑은 그렇게 하는 것이 아니다, 김달, 14850원
3, 엄마의 말하기 연습(20만부 기념 스페셜 에디션), 박재연, 13320원
4, 반짝이는 하루ͺ 그게 오늘이야, 레슬리 마샹 외, 15120원
5, 하얼빈, 김훈, 14400원
6, 세상에서 가장 쉬운 본질육아, 지나영, 16920원
7, 아버지의 해방일지, 정지아, 13500원
8, 불편한 편의점 2, 김호연, 12600원
9, 2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서, 에듀윌 취업연구소, 20700원
10, 역행자, 자청, 15750원
11, 잘될 수밖에 없는 너에게, 최서영, 14400원
12, 바자(BAZAAR)(2022년 11월호), 허스트중앙 편집부, 12260원
13, 바자(BAZAAR)(2022년 11월호)(B형), 허스트중앙 편집부, 12260원
14, 나는 나를 바꾸기로 했다, 우즈훙 외, 14220원
15, 불편한 편의점(40만부 기념 벚꽃 에디션), 김호연, 12600원
16, 부의 치트키, 김성공, 15300원
17, 2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리), 해커스 취업교육연구소, 16110원
18, 올리버쌤의 미국식 아이 영어 습관 365, 올리버 그랜트 외, 20700원
19, 마흔에 읽는 니체, 장재형, 14400원
20, 바자(BAZAAR)(2022년 11월호)(C형), 허스트중앙 편집부, 12260원
21, 작은 땅의 야수들, 김주혜 외, 16200원
22, 단순한 열정, 아니 에르노 외, 9000원
23, 심리학이 분노에 답하다, 충페이충 외, 16020원
24, 파친코 2, 이민진 외, 14220원
25, 파친코 1, 이민진 외, 14220원
26, 원씽(The One Thing)(리커버 특별판), 게리 켈러 외, 12600원
27, 이 책은 돈 버는 법에 관한 이야기, 고명환, 15120원
28, 그릿(100쇄 기념 리커버 에디션), 앤절라 더크워스 외, 14400원
29, 부자 아빠 가난한 아빠 1(20주년 특별 기념판), 로버트 기요사키 외, 14220원
30, 생각이 많아 우울한 걸까ͺ 우울해서 생각이 많은 걸까?, 피아 칼리슨 외, 13500원
31, The Scent of PAGE : 디퓨저 200ml, 교보문고, 45000원
32, SQL 자격검정 실전문제, 한국데이터진흥원, 17820원
33, 트렌드 코리아 2023, 김난도 외, 13300원
34, 이토록 평범한 미래, 김연수, 12600원
35, 퀀트 투자 무작정 따라하기, 강환국, 22500원
36, 사람을 얻는 지혜, 발타자르 그라시안 외, 12420원
37, The Scent of PAGE : 룸스프레이 60ml, 교보문고, 19000원
38, The Scent of PAGE : 디퓨저 리필액 250ml, 교보문고, 24000원
39, 2022 해커스 SKCT SK그룹 종합역량검사 봉투모의고사, 해커스 취업교육연구소, 17010원
40, 데일 카네기 인간관계론, 데일 카네기 외, 10350원
41, 돈의 속성(200쇄 리커버에디션), 김승호, 16020원
42, 데이터는 어떻게 인생의 무기가 되는가, 세스 스티븐스 다비도위츠 외, 16920원
43, 혼자서 종이우산을 쓰고 가다, 에쿠니 가오리 외, 13320원
44, 저스트. 킵. 바잉., 닉 매기울리 외, 17820원
45, 믹스(Mix), 안성은(Brand Boy), 16920원
46, 너의 이름을 사랑이라 부른다, 소강석, 8100원
47, 해외설교(올랜도), 박윤식 외, 18000원
48, 오십의 주역공부, 김동완, 16200원
49, 세상의 마지막 기차역, 무라세 다케시 외, 12600원
50, 해커스 GSAT 삼성직무적성검사 Final 봉투모의고사 4회분, 해커스 취업교육연구소, 13410원
51, 2022 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화, 최태성, 17550원
52, 하버드대생 공부법은 당신과 다르다, 류쉬안 외, 15300원
53, 해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장, David Cho, 11610원
54, ETS 토익 정기시험 기출문제집 1000 Vol 3 LISTENING(리스닝), ETS, 16020원
55, 세상이 궁금해서 일찍 나왔니?, 이철, 14400원
56, 헤어질 결심 스토리보드북, 박찬욱 (감독) 외, 29700원
57, 부의 추월차선(10주년 스페셜 에디션), 엠제이 드마코 외, 15750원
58, ETS 토익 정기시험 기출문제집 1000 Vol 3 READING(리딩), ETS, 16020원
59, 나는 당신이 행복했으면 좋겠습니다, 박찬위, 12420원
60, 최소한의 이웃, 허지웅, 14220원
61, 기분을 관리하면 인생이 관리된다, 김다슬, 15840원
62, 2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1ͺ 2ͺ 3급)(상), 최태성, 13500원
63, EBS 만점마무리 봉투모의고사 국어영역 3회분(2022)(2023 수능대비), EBS교육방송 편집부, 7650원
64, 심리학이 조조에게 말하다 1, 천위안 외, 16020원
65, 엉뚱소심 유령 탐정단 1: 도서관 유령 소동, 도리 힐레스타드 버틀러 외, 11700원
66, 2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1ͺ 2ͺ 3급)(하), 최태성, 13050원
67, EBS 만점마무리 봉투모의고사 영어영역 3회분(2022)(2023 수능대비), EBS교육방송 편집부, 7200원
68, 타이탄의 도구들(블랙 에디션), 팀 페리스 외, 16200원
69, 이기적 유전자(40주년 기념판), 리처드 도킨스 외, 18000원
70, 4영리에 대하여 들어 보셨습니까(소책자), 편집부, 140원
71, 빠르게 실패하기, 존 크럼볼츠 외, 14850원
72, 거의 모든 행동 표현의 영어, 서영조, 14400원
73, 아주 작은 습관의 힘, 제임스 클리어 외, 14400원
74, 방구석 뮤지컬, 이서희, 14850원
75, 나의 투자는 새벽 4시에 시작된다, 유목민, 17820원
76, 10배의 법칙, 그랜트 카돈 외, 15120원
77, 위로의 미술관, 진병관, 16920원
78, 2022 하반기 All-New SKCT SK그룹 온라인 최신기출유형+모의고사 5회+무료SK특강, SD적성검사연구소, 15400원
79, 언어를 디자인하라, 유영만 외, 15300원
80, 클루지, 개리 마커스 외, 12420원
81, EBS 고난도 시크릿X 봉투모의고사 영어영역(2022)(2023 수능 대비), EBS교육방송 편집부, 8550원
82, 나는 오래된 거리처럼 너를 사랑하고, 진은영, 10800원
83, 어서 오세요ͺ 이야기 수학 클럽에, 김민형, 14400원
84, EBS Final 실전모의고사 고등 영어영역(2022)(2023 수능대비), EBS교육방송 편집부, 9900원
85, 어서 오세요ͺ 휴남동 서점입니다 (여름 숲 에디션), 황보름, 13500원
86, 두레문학(2022년 하반기 제32호), 두레문학 편집부, 9500원
87, 그리고 행복하다는 소식을 들었습니다, 이병률, 14220원
88, 예쁘게 말하는 네가 좋다, 김범준, 14220원
89, 가녀장의 시대, 이슬아, 13500원
90, 기도수첩(Remnant)(2022년 11월호), 생명 편집부, 4750원
91, 흔한남매의 흔한 호기심 7, 안치현 외, 12600원
92, 우리는 어디서 살아야 하는가, 김시덕, 16200원
93, 2022 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사, 해커스 취업교육연구소, 20610원
94, 외사랑, 히가시노 게이고 외, 16020원
95, 어떻게 말해줘야 할까(60만 부 기념 한정판 리커버), 오은영 외, 15750원
96, 2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 실전 봉투모의고사 10회, 에듀윌 취업연구소, 16200원
97, 작별인사(밤하늘 에디션), 김영하, 12600원
98, 오싹오싹 크레용!, 에런 레이놀즈 외, 11700원
99, 진짜 쓰는 실무 엑셀, 오빠두(전진권), 18900원
100, 마이클 모부신 운과 실력의 성공 방정식, 마이클 모부신 외, 16200원
101, 교보문고 시그니처 독서대(월넛), 교보문고, 58500원
102, 부의 인문학(20만부 기념 개정증보판), 우석, 15300원
103, 좋은 불평등, 최병천, 19800원
104, 혼자 공부하는 파이썬, 윤인성, 19800원
105, 아몬드(100만 부 기념 특별판), 손원평, 10800원
106, EBS Final 실전모의고사 고등 국어영역(2022)(2023 수능대비), EBS교육방송 편집부, 9900원
107, 쎈 중등 수학 2-2(2022), 홍범준 외, 14400원
108, 나는 나의 밤을 떠나지 않는다, 아니 에르노 외, 10800원
109, 엄마의 말 연습, 윤지영, 15750원
110, 대발이는 벚꽃을 좋아해, 안도현, 10800원
111, 변화하는 세계 질서, 레이 달리오 외, 34200원
112, 2022 ADsP 데이터 분석 준전문가, 윤종식, 25200원
113, 365 부모 말하기 연습 일력, 박재연 외, 16200원
114, 마지막 몰입: 나를 넘어서는 힘, 짐 퀵 외, 15120원
115, 문장과 순간, 박웅현, 16200원
116, 설민석의 한국사 대모험 22, 설민석 외, 11700원
117, 역설계, 론 프리드먼 외, 16020원
118, 다이어트 사이언스(2022), 최겸, 19800원
119, 2022 에듀윌 취업 SKCT SK그룹 종합역량검사 통합 기본서 최신기출유형+실전ㆍ직무모의고사 5회, 에듀윌 취업연구소, 20700원
120, 데일 카네기 자기관리론(1948년 초판 완역본), 데일 카네기 외, 10350원
121, 부자의 그릇, 이즈미 마사토 외, 13500원
122, EBS 만점마무리 봉투모의고사 Red Edition(2022)(2023 수능 대비), EBS교육방송 편집부, 13050원
123, 테라피스트, B. A. 패리스 외, 14400원
124, 2023 써니 행정법총론 기출문제집, 박준철, 37800원
125, 우리의 정원, 김지현, 10800원
126, 물고기는 존재하지 않는다, 룰루 밀러 외, 15300원
127, 돈ͺ 뜨겁게 사랑하고 차갑게 다루어라, 앙드레 코스톨라니 외, 10800원
128, 능률 VOCA 어원편, NE능률 영어교육연구소, 13500원
129, 순례 주택, 유은실, 11700원
130, 긴긴밤, 루리 외, 10350원
131, EBS 만점마무리 봉투모의고사 수학영역 3회분(2022)(2023 수능대비), EBS교육방송 편집부, 7200원
132, 백년허리 2: 치료편, 정선근, 16650원
133, 단순한 열정, 최정수 외, 7000원
134, 무조건 수익 내는 실전 부동산 경매, 나땅(이소라), 18000원
135, 벌거벗은 한국사: 인물편, tvN STORY 〈벌거벗은 한국사〉 제작팀 외, 16920원
136, 오은영의 화해, 오은영, 14400원
137, 마음세탁소, 황웅근, 13500원
138, 오투 중등 과학 3-2(2022), 비상교육 편집부, 15750원
139, 다정한 것이 살아남는다, 브라이언 헤어 외, 19800원
140, 하얼빈, 김훈, 11200원
141, 컬러의 방, 폴 심프슨 외, 19800원
142, 사로잡는 얼굴들, 이사 레슈코 외, 25200원
143, 참 괜찮은 태도, 박지현, 15120원
144, 내 일로 건너가는 법, 김민철, 15120원
145, 수학은 어떻게 문명을 만들었는가, 마이클 브룩스 외, 19800원
146, EBS 만점마무리 봉투모의고사 사회탐구영역 생활과 윤리 5회분(2022)(2023 수능대비), EBS교육방송 편집부, 5400원
147, EBS 만점마무리 봉투모의고사 사회탐구영역 사회 문화 5회분(2022)(2023 수능대비), EBS교육방송 편집부, 5400원
148, 월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판), 너나위, 17820원
149, EBS 수능완성 영어영역 영어(2022)(2023 수능대비), EBS교육방송 편집부, 9630원
150, 2022 해커스 파생상품투자권유자문인력 최종핵심정리문제집+실전모의고사 2회분, 민영기 외, 24210원
151, 오십에 읽는 논어(교보문고 특별판 리커버), 최종엽, 14400원
152, 삐뽀삐뽀 119 이유식, 하정훈, 17010원
153, 침묵의 봄, 레이첼 카슨 외, 16200원
154, 레버리지, 롭 무어 외, 14400원
155, 흔한남매 수수께끼 어드벤처 1, 노지영 외, 12600원
156, 세월, 아니 에르노 외, 13950원
157, 누구에게도 상처받을 필요는 없다, 지민석, 12600원
158, EBS 수능특강 영어영역 영어(2022)(2023 수능대비), EBS교육방송 편집부, 8100원
159, 세계미래보고서 2023, 박영숙 외, 16200원
160, 마지막 이야기 전달자, 도나 바르바 이게라 외, 16200원
161, 한국 교회 트렌드 2023, 지용근 외, 18000원
162, 다니엘 핑크 후회의 재발견, 다니엘 핑크 외, 16200원
163, 어느 날ͺ 내 죽음에 네가 들어왔다, 세이카 료겐 외, 13500원
164, 오늘 밤ͺ 세계에서 이 사랑이 사라진다 해도, 이치조 미사키 외, 12600원
165, 지리의 힘, 팀 마샬 외, 15300원
166, 예비 매3비 매일 지문 3개씩 푸는 비문학 독서 기출, 안인숙, 14400원
167, 사피엔스, 유발 하라리 외, 19800원
168, 계절의 위로, 서은, 13950원
169, 뇌ͺ 욕망의 비밀을 풀다, 한스 게오르크 호이젤 외, 16200원
170, 김승옥문학상 수상작품집(2022), 편혜영 외, 9000원
171, 2022 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가, 윤종혁 외, 20610원
172, 100발100중 중등 영어 3-2 기말고사 기출문제집(동아 윤정미)(2022), 에듀원 편집부, 12600원
173, 스틱, 칩 히스 외, 13500원
174, MAXIDENT [GO VER] [한정반], STRAY KIDS(스트레이 키즈), 16300원
175, 꽃을 보듯 너를 본다, 나태주, 9000원
176, 2022 하반기 All-New 기출이 답이다 SKCT SK그룹 온라인 종합역량검사+무료SK특강, SD적성검사연구소, 12600원
177, 2022 하반기 렛유인 GSAT 삼성직무적성검사 Final 봉투모의고사, 정지성 외, 14400원
178, 신인류가 몰려온다, 이시형, 14400원
179, EBS 고난도 시크릿X 봉투모의고사 국어영역(2022)(2023 수능 대비), EBS교육방송 편집부, 8820원
180, 흔한남매 11, 백난도 외, 13050원
181, 인플레이션에서 살아남기, 오건영, 16920원
182, 한국보훈복지의료공단 보훈병원 필기시험 실력평가 모의고사, 간호사시험연구소, 18900원
183, 큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1ͺ 2ͺ 3급), 최태성, 13950원
184, 쎈 중등 수학 3-2(2022), 홍범준 외, 13950원
185, 매3비 매일 지문 3개씩 푸는 비문학 독서 수능 기출(2022)(2023 수능대비), 안인숙, 15300원
186, 이어령의 마지막 수업, 김지수 외, 14850원
187, 당신의 뇌는 최적화를 원한다, 가바사와 시온 외, 13500원
188, 욕망의 진화, 데이비드 버스 외, 19800원
189, 중학영문법 3800제 1학년(2023), 마더텅 편집부, 12510원
190, 아홉 살 마음 사전, 박성우 외, 9900원
191, Wonder 영화 <원더> 원작 소설 미국판, R. J. Palacio, 6400원
192, 장사의 신, 우노 다카시 외, 12600원
193, 내가 알고 있는 걸 당신도 알게 된다면(리커버 에디션), 칼 필레머 외, 15300원
194, 대한민국 부동산 부의 역사, 이상우 외, 19800원
195, 눈물 한 방울, 이어령, 14220원
196, 천일문 기본 Basic 1001 Sentences, 김기훈 외, 17100원
197, 백년허리 1: 진단편, 정선근, 16650원
198, 아버지의 해방일지, 정지아, 12000원
199, 부자 아빠 가난한 아빠. 1(20주년 특별 기념판), 안진환 외, 11000원
200, ADHD 우리 아이 어떻게 키워야 할까, 신윤미, 16200원
201, 어린이를 위한 역사의 쓸모 2: 고려 시대 - 조선 전기, 최태성 외, 13500원
202, 2022 하반기 고시넷 NCS 지역농협 6급 오픈봉투모의고사, 고시넷 NCS 연구소, 19800원
203, 어린이를 위한 역사의 쓸모 1: 선사시대~남북국 시대, 최태성 외, 13500원
204, EBS 만점마무리 봉투모의고사 한국사영역 5회분(2022)(2023 수능대비), EBS교육방송 편집부, 5400원
205, 멘탈을 바꿔야 인생이 바뀐다, 박세니, 14220원
206, 해커스 OPIc 오픽 START Intermediate 공략, 해커스 오픽연구소, 14310원
207, 소크라테스 익스프레스, 에릭 와이너 외, 16200원
208, 달러구트 꿈 백화점(레인보우 에디션), 이미예, 12420원
209, 정리하는 뇌, 대니얼 J. 레비틴 외, 19800원
210, 인간 실격, 다자이 오사무 외, 8100원
211, The Scent of PAGE : 차량용 방향제, 교보문고, 36000원
212, 위라클(WERACLE), 박위, 13500원
213, 한반도에 지저스 웨이브가 온다, 김성욱, 16200원
214, 미움받을 용기, 기시미 이치로 외, 13410원
215, 코스모스, 칼 세이건 외, 17910원
216, 이것은 작은 브랜드를 위한 책, 이근상, 14220원
217, 사건, 아니 에르노 외, 9720원
218, 미술관에 간 바이올리니스트, 이수민 외, 16200원
219, 매거진 B(Magazine B) No.91: Hawaii(한글판), 매거진 B 편집부, 19000원
220, 예민한 아이를 위한 부모 수업, 일레인 N. 아론 외, 16200원
221, 미술관을 빌려드립니다: 프랑스, 이창용, 17550원
222, 운명을 바꾸는 부동산 투자 수업(11만 부 기념 바이블 에디션), 부동산읽어주는남자(정태익), 27000원
223, 위대한 과학 고전 30권을 1권으로 읽는 책, 김성근, 16020원
224, 해커스 국민건강보험공단 NCS+법률 봉투모의고사 5+4회, 해커스 취업교육연구소, 13410원
225, 대출의 마법, 김은진, 18000원
226, 2022 하반기 에듀윌 공기업 국민건강보험공단 NCS+법률 봉투모의고사 4+3회+법률 100제, 에듀윌 취업연구소, 15750원
227, 헤어질 결심 각본, 정서경 외, 13500원
228, 2022 해커스 투자자산운용사 최종핵심정리문제집+실전모의고사 3회분, 백영 외, 30510원
229, 마음의 법칙, 폴커 키츠 외, 14400원
230, 오투 중등 과학 2-2(2022), 비상교육 편집부, 16650원
231, 세계를 건너 너에게 갈게, 이꽃님, 10350원
232, 마법에서 과학으로: 자석과 스핀트로닉스, 김갑진, 16200원
233, 돈의 심리학(10만 부 돌파 기념 골드 에디션), 모건 하우절 외, 17820원
234, 서찰을 전하는 아이, 한윤섭 외, 10800원
235, 총 균 쇠, 재레드 다이아몬드 외, 25200원
236, 넛지(파이널 에디션), 리처드 탈러 외, 19800원
237, 백년운동, 정선근, 17550원
238, 중학영문법 3800제 2학년(2023), 마더텅 편집부, 13410원
239, 데미안, 헤르만 헤세 외, 7200원
240, 2023 부산광역시교육청 교육공무직원 소양평가 인성검사 3회+실전모의고사 7회+면접+무료공무직특강, SD적성검사연구소, 19800원
241, 빈 옷장, 아니 에르노 외, 13050원
242, 올드패션 베이킹북, 이수정, 25200원
243, 오버로드 15: 하프엘프 신인(상), 마루야마 쿠가네 외, 10800원
244, 책과 우연들, 김초엽, 14400원
245, 딥 타임, 크리스티앙 클로 외, 15300원
246, 초역 니체의 말, 프리드리히 니체 외, 14220원
247, 재수사 1, 장강명, 14400원
248, 오늘 밤ͺ 세계에서 이 눈물이 사라진다 해도, 이치조 미사키 외, 12600원
249, 계속 가보겠습니다, 임은정, 16200원
250, 튜브, 손원평, 13500원
251, 바로 쓰는 영어, 셀리, 16200원
252, 2023 해커스공무원 신민숙 쉬운국어 어법 필기노트(9급 공무원ͺ 7급 공무원), 신민숙, 13950원
253, 비상식적 성공 법칙, 간다 마사노리 외, 15300원
254, EBS Final 실전모의고사 고등 수학영역(2022)(2023 수능대비), EBS교육방송 편집부, 9900원
255, 해커스 토익 RC 리딩(Reading) 토익 기본서, David Cho, 16920원
256, 해커스 보카(Hackers Vocabulary), David Cho, 15210원
257, 지구 끝의 온실(여름 에디션), 김초엽, 13500원
258, 한끝 중등 역사 2-2(2023), 비상교육 편집부, 11700원
259, 최상위 수학 초등 5-2(2022), 디딤돌 편집부, 13500원
260, 숲 속에서, 마리 홀 에츠 외, 8550원
261, 삶의 격, 페터 비에리 외, 14400원
262, 시크릿, 론다 번 외, 12420원
263, 2ND MINI ALBUM [ANTIFRAGILE] [WEVERSE ALBUMS VER], LE SSERAFIM(르세라핌), 10100원
264, 몬스터 차일드, 이재문 외, 10800원
265, 체리새우: 비밀글입니다, 황영미, 10350원
266, 개념원리 고등 수학(상)(2022), 이홍섭, 16200원
267, 위풍당당 여우 꼬리 3: 핼러윈과 어둠 숨바꼭질, 손원평 외, 11700원
268, 소설 보다: 가을 2022, 김기태 외, 3150원
269, 반도체 애널리스트의 리서치 습관, 김경민, 15300원
270, 재수사 2, 장강명, 14400원
271, 디딤돌 초등수학 기본+응용 5-1(2023), 디딤돌 편집부, 14400원
272, EEA: English for Everyday Activities(한글판), Lawrence J. Zwier, 12600원
273, 그리스도인의 확신, 네비게이토 편집부, 3600원
274, 세상에서 가장 쉬운 본질육아, 지나영, 15040원
275, 마흔에 읽는 니체, 장재형, 13000원
276, 원씽(The One Thing)(리커버 특별판), 구세희 외, 10000원
277, 사람을 얻는 지혜, 발타자르 그라시안 외, 7590원
278, 사랑받는 막내는 처음이라. 1, 미래나비, 3500원
279, 구궐황도. 4, 구중탑, 2900원
280, 구궐황도. 2, 구중탑, 2900원
281, 구궐황도. 3, 구중탑, 2900원
282, 영원한 계약 43화 (42화),  앤드비  , 600원
283, 슬픔이 택배로 왔다, 정호승, 9900원
284, 부동산 경매로 1년 만에 꼬마빌딩주 되다, 김상준, 16200원
285, 이해원 모의고사 시즌3(2022)(2023 수능대비), 이해원, 17100원
286, 리얼 교토: 고베 나라(2022~2023), 황성민 외, 16200원
287, EBS 고난도 시크릿X 봉투모의고사 수학영역(2022)(2023 수능 대비), EBS교육방송 편집부, 8820원
288, 2023 황변과 함께하는 로스쿨면접 Q (1ͺ2ͺ3) 세트, 황정현 외, 56700원
289, 채사장의 지대넓얕 4: 보이지 않는 손, 채사장 외, 13500원
290, 나의 아름다운 할머니, 심윤경, 11700원
291, 푸른 사자 와니니 4: 작은 코뿔소 파투, 이현 외, 10800원
292, 벌거벗은 세계사: 전쟁편, tvn<벌거벗은세계사>제작팀, 20700원
293, 패턴국어 중학문학 현대시, 류대곤 외, 14400원
294, 세계사를 바꾼 커피 이야기, 우스이 류이치로 외, 16200원
295, 28시간에 끝내는 토익스피킹 스타트, 황인기 외, 16110원
296, EBS 수능완성 국어영역 독서·문학·화법과 작문(2022)(2023 수능대비), EBS교육방송 편집부, 9630원
297, 내가 틀릴 수도 있습니다, 비욘 나티코 린데블라드 외, 14400원
